series,repeat_index,mode,workload,target_sql_bytes,actual_sql_bytes,iterations,warmup,total_operations,ok_operations,error_operations,wall_total_s,throughput_ops_s,avg_us,min_us,p50_us,p95_us,p99_us,max_us,avg_alloc_bytes,p50_alloc_bytes,p95_alloc_bytes,max_alloc_bytes,avg_peak_live_bytes,p50_peak_live_bytes,p95_peak_live_bytes,max_peak_live_bytes,avg_retained_bytes,p50_retained_bytes,p95_retained_bytes,max_retained_bytes,error_message
single_call_parse,3,sqlparser-parse,insert-values,2048,2048,10000,1000,10000,10000,0,8.288436438,1206.5002,828.6209,802.401,829.148,844.468,860.377,3190.199,158670.0,158670,158670,158670,127398.0,127398,127398,127398,6680.0,6680,6680,6680,
single_call_parse,1,native-parse,insert-values,4096,4096,5000,500,5000,5000,0,7.000386915,714.2462,1394.3273,1363.309,1388.658,1430.358,1452.278,3504.44,271009.0,271009,271009,271009,271009.0,271009,271009,271009,8865.0,8865,8865,8865,
single_call_parse,2,native-parse,insert-values,4096,4096,5000,500,5000,5000,0,7.070961546,707.1174,1408.3897,1366.216,1405.725,1440.881,1466.535,3766.121,271009.0,271009,271009,271009,271009.0,271009,271009,271009,8865.0,8865,8865,8865,
single_call_parse,3,native-parse,insert-values,4096,4096,5000,500,5000,5000,0,7.070329102,707.1807,1408.3166,1367.888,1404.737,1440.743,1468.225,3920.411,271009.0,271009,271009,271009,271009.0,271009,271009,271009,8865.0,8865,8865,8865,
single_call_parse,1,sqlparser-parse,insert-values,4096,4096,5000,500,5000,5000,0,7.97019815,627.337,1593.6115,1551.237,1586.596,1633.889,1663.991,4061.818,349636.0,349636,349636,349636,271009.0,271009,271009,271009,13075.0,13075,13075,13075,
single_call_parse,2,sqlparser-parse,insert-values,4096,4096,5000,500,5000,5000,0,7.98351702,626.2904,1596.3197,1536.842,1589.717,1642.805,1692.946,3790.782,349636.0,349636,349636,349636,271009.0,271009,271009,271009,13075.0,13075,13075,13075,
single_call_parse,3,sqlparser-parse,insert-values,4096,4096,5000,500,5000,5000,0,7.994941427,625.3955,1598.6129,1552.155,1591.435,1645.82,1701.739,3260.285,349636.0,349636,349636,349636,271009.0,271009,271009,271009,13075.0,13075,13075,13075,
single_call_parse,1,native-parse,insert-values,8192,8192,5000,500,5000,5000,0,14.034751934,356.2585,2790.1614,2732.653,2780.86,2844.272,2907.865,4331.913,541889.0,541889,541889,541889,533641.0,533641,533641,533641,17545.0,17545,17545,17545,
single_call_parse,2,native-parse,insert-values,8192,8192,5000,500,5000,5000,0,14.006572977,356.9753,2784.9597,2734.69,2776.434,2831.064,2870.858,4815.705,541889.0,541889,541889,541889,533641.0,533641,533641,533641,17545.0,17545,17545,17545,
single_call_parse,3,native-parse,insert-values,8192,8192,5000,500,5000,5000,0,14.040951853,356.1012,2791.6018,2736.894,2779.928,2843.85,2934.615,5178.889,541889.0,541889,541889,541889,533641.0,533641,533641,533641,17545.0,17545,17545,17545,
