case,dialect,size,patches,run,input_bytes,output_bytes,parse_seconds,construct_seconds,apply_seconds,json_seconds,deparse_seconds,max_rss_kib,full_parse_calls,handle_clone_calls,deparse_calls,arguments
mixed_update_expr,postgresql,200,200,3,4106,5596,0.004864,,2.726554,0.024665,0.000036,5604,200,1,0,--profile mixed_update_expr postgresql 200 200
mixed_update_expr,postgresql,400,100,1,8306,8996,0.009263,,4.057064,0.076137,0.000053,9100,100,1,0,--profile mixed_update_expr postgresql 400 100
mixed_update_expr,postgresql,400,100,2,8306,8996,0.009199,,4.056492,0.076144,0.000052,9100,100,1,0,--profile mixed_update_expr postgresql 400 100
mixed_update_expr,postgresql,400,100,3,8306,8996,0.009393,,4.115942,0.076933,0.000053,9104,100,1,0,--profile mixed_update_expr postgresql 400 100
mixed_update_expr,oracle,200,200,1,4106,5596,0.007860,,3.609727,0.027096,0.000029,5636,200,1,0,--profile mixed_update_expr oracle 200 200
mixed_update_expr,oracle,200,200,2,4106,5596,0.007989,,3.642610,0.029976,0.000029,5636,200,1,0,--profile mixed_update_expr oracle 200 200
mixed_update_expr,oracle,200,200,3,4106,5596,0.008102,,3.638222,0.027310,0.000029,5640,200,1,0,--profile mixed_update_expr oracle 200 200
mixed_update_expr,sqlserver,200,200,1,4106,5995,0.010280,,6.047287,0.040685,0.000029,5928,200,1,100,--profile mixed_update_expr sqlserver 200 200
mixed_update_expr,sqlserver,200,200,2,4106,5995,0.010206,,5.996253,0.040263,0.000029,5932,200,1,100,--profile mixed_update_expr sqlserver 200 200
mixed_update_expr,sqlserver,200,200,3,4106,5995,0.010422,,6.063908,0.040586,0.000029,5932,200,1,100,--profile mixed_update_expr sqlserver 200 200
insert_cell,oracle,250,250,1,2677,4567,0.004286,,0.212387,0.004619,0.000074,3276,0,1,0,--profile insert_cell oracle 250 250
insert_cell,oracle,250,250,2,2677,4567,0.004303,,0.212209,0.004678,0.000073,3276,0,1,0,--profile insert_cell oracle 250 250
insert_cell,oracle,250,250,3,2677,4567,0.004240,,0.212545,0.004683,0.000077,3272,0,1,0,--profile insert_cell oracle 250 250
update_literal,postgresql,250,250,1,2678,4568,0.002698,,0.182199,0.005743,0.000029,4144,0,1,0,--profile update_literal postgresql 250 250
update_literal,postgresql,250,250,2,2678,4568,0.002667,,0.181089,0.005584,0.000029,4144,0,1,0,--profile update_literal postgresql 250 250
update_literal,postgresql,250,250,3,2678,4568,0.002635,,0.180988,0.005572,0.000029,4148,0,1,0,--profile update_literal postgresql 250 250
merge_cell,oracle,250,250,1,2727,4617,0.004456,,0.207741,0.005429,0.000032,3656,0,1,0,--profile merge_cell oracle 250 250
merge_cell,oracle,250,250,2,2727,4617,0.004370,,0.207020,0.005349,0.000033,3656,0,1,0,--profile merge_cell oracle 250 250
merge_cell,oracle,250,250,3,2727,4617,0.004419,,0.203743,0.005415,0.000033,batch-profile,0,1,0,--profile merge_cell oracle 250 250
select_target,sqlserver,250,250,1,1514,3653,0.003687,,0.173807,0.006356,0.002200,3920,0,1,0,--profile select_target sqlserver 250 250
select_target,sqlserver,250,250,2,1514,3653,0.003638,,0.170390,0.006112,0.002089,3916,0,1,0,--profile select_target sqlserver 250 250
select_target,sqlserver,250,250,3,1514,3653,0.003707,,0.172453,0.006491,0.002116,3916,0,1,0,--profile select_target sqlserver 250 250
where_literal,postgresql,250,250,1,3659,5549,0.005675,,0.543150,0.012220,0.000262,5376,1,1,0,--profile where_literal postgresql 250 250
where_literal,postgresql,250,250,2,3659,5549,0.005637,,0.536112,0.011893,0.000257,5376,1,1,0,--profile where_literal postgresql 250 250
where_literal,postgresql,250,250,3,3659,5549,0.005468,,0.535907,0.011900,0.000283,5380,1,1,0,--profile where_literal postgresql 250 250
oracle_backup,oracle,50,500,1,27070,147570,0.004180,,0.212858,,0.000186,5252,1,2,4,--bench oracle 50
oracle_backup,oracle,50,500,2,27070,147570,0.004133,,0.210821,,0.000239,5256,1,2,4,--bench oracle 50
oracle_backup,oracle,50,500,3,27070,147570,0.004144,,0.214059,,0.000217,5256,1,2,4,--bench oracle 50
