case,dialect,patches,input_bytes,output_bytes,full_parse_calls,handle_clone_calls,deparse_calls
merge_cell,vastbase-sqlserver,6,139,175,0,1,0
expr_literal,vastbase-sqlserver,6,240,276,1,1,0
expr_raw,vastbase-sqlserver,6,240,276,6,1,0
expr_float,vastbase-sqlserver,6,240,234,6,1,0
expr_bind,vastbase-sqlserver,6,240,228,6,1,0
expr_field,vastbase-sqlserver,6,216,276,6,1,0
expr_whole,vastbase-sqlserver,6,240,276,6,1,0
expr_insert,vastbase-sqlserver,6,282,354,6,1,0
expr_delete,vastbase-sqlserver,6,282,246,6,1,0
expr_repeat,vastbase-sqlserver,6,240,246,6,1,0
mixed_update_expr,vastbase-sqlserver,6,136,183,6,1,3
insert_cell,kingbase-oracle,6,89,125,0,1,0
insert_copy,kingbase-oracle,6,89,107,5,1,0
update_literal,kingbase-oracle,6,90,126,0,1,0
where_literal,kingbase-oracle,6,97,133,1,1,0
select_target,kingbase-oracle,6,50,91,0,1,0
merge_cell,kingbase-oracle,6,139,175,0,1,0
expr_literal,kingbase-oracle,6,240,276,1,1,0
expr_raw,kingbase-oracle,6,240,276,6,1,0
expr_float,kingbase-oracle,6,240,234,6,1,0
expr_bind,kingbase-oracle,6,240,228,6,1,0
expr_field,kingbase-oracle,6,216,276,6,1,0
expr_whole,kingbase-oracle,6,240,276,6,1,0
expr_insert,kingbase-oracle,6,282,354,6,1,0
expr_delete,kingbase-oracle,6,282,246,6,1,0
expr_repeat,kingbase-oracle,6,240,246,6,1,0
mixed_update_expr,kingbase-oracle,6,136,172,6,1,0
multi_all,kingbase-oracle,6,201,237,6,2,2
multi_first,kingbase-oracle,6,217,253,6,2,2
multi_raw,kingbase-oracle,6,201,237,6,2,2
multi_float,kingbase-oracle,6,201,195,6,2,2
multi_bind,kingbase-oracle,6,201,189,6,2,2
multi_copy,kingbase-oracle,6,201,219,6,2,2
multi_comment_all,kingbase-oracle,6,231,267,6,2,2
multi_comment_first,kingbase-oracle,6,247,283,6,2,2
insert_cell,kingbase-mysql,6,89,125,0,1,0
insert_copy,kingbase-mysql,6,89,107,5,1,0
update_literal,kingbase-mysql,6,90,126,0,1,0
where_literal,kingbase-mysql,6,97,133,1,1,0
select_target,kingbase-mysql,6,50,91,0,1,0
expr_literal,kingbase-mysql,6,240,276,1,1,0
expr_raw,kingbase-mysql,6,240,276,6,1,0
expr_float,kingbase-mysql,6,240,234,6,1,0
expr_bind,kingbase-mysql,6,240,216,6,1,0
expr_field,kingbase-mysql,6,216,276,6,1,0
expr_whole,kingbase-mysql,6,240,276,6,1,0
expr_insert,kingbase-mysql,6,282,354,6,1,0
expr_delete,kingbase-mysql,6,282,246,6,1,0
expr_repeat,kingbase-mysql,6,240,246,6,1,0
mixed_update_expr,kingbase-mysql,6,136,172,6,1,0
insert_cell,kingbase-postgresql,6,89,125,0,1,0
insert_copy,kingbase-postgresql,6,89,107,5,1,0
update_literal,kingbase-postgresql,6,90,126,0,1,0
where_literal,kingbase-postgresql,6,97,133,1,1,0
select_target,kingbase-postgresql,6,50,91,0,1,0
merge_cell,kingbase-postgresql,6,139,175,0,1,0
expr_literal,kingbase-postgresql,6,240,276,1,1,0
expr_raw,kingbase-postgresql,6,240,276,6,1,0
expr_float,kingbase-postgresql,6,240,234,6,1,0
expr_bind,kingbase-postgresql,6,240,222,6,1,0
expr_field,kingbase-postgresql,6,216,276,6,1,0
